,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
317,Netherlands,,Jonge Stam,"Hollander, Cornelis Andries"
318,Netherlands,1770-05-02T00:00:00Z,Jonge Willem,"Noordhoek, Johannes"
319,Netherlands,,Jonge Willem,"Noordhoek, Johannes"
320,Netherlands,,Jonge Willem,"Noordhoek, Johannes"
321,Netherlands,,Jonge Willem,"Loef, Cornelis"
322,Netherlands,,Jonge Willem,"Loef, Cornelis"
323,Netherlands,,Jonge Willem,"Lagay, Pieter"
324,Netherlands,,Keenenburg,"Bruijn, Jan de"
325,Netherlands,1771-04-03T00:00:00Z,Keenenburg,"Bruijn, Jan de"
326,Netherlands,1773-06-07T00:00:00Z,Keenenburg,"Bruijn, Jan de"
327,Netherlands,1776-02-14T00:00:00Z,Keenenburg,"Bruijn, Jan de"
328,Netherlands,,Kroonprins van Pruisen,"Meester, Hendrik"
329,Netherlands,,Laarenburg,"Noels, Andries"
330,Netherlands,,Laarenburg,"Noels, Andries"
331,Netherlands,,Lammerenburg,"Vleeshouwer, Michiel"
332,Netherlands,,Lammerenburg,"Vleeshouwer, Michiel"
333,Netherlands,,Lammerenburg,"Vleeshouwer, Michiel<br/> Jansen, Jan"
334,Netherlands,,Lammerenburg,"Janssen, Jan"
335,Netherlands,1789-05-16T00:00:00Z,Landlust,"Tol, Casper"
336,Netherlands,1788-05-07T00:00:00Z,Lea,"Jacobs, Claas"
337,Netherlands,,Louisa Margarita,"Lindenberg, J"
338,Netherlands,1793-07-03T00:00:00Z,Lust and Vlijt,"Duijker, Gerrit<br/> Luijtzen, Simon"
339,Netherlands,1771-08-30T00:00:00Z,Maas,"Port, Ary van der"
340,Netherlands,,Magdalena Maria,"Klerk, Pieter de"
341,Netherlands,,Magdalena Maria,"Klerk, Pieter de"
342,Netherlands,,Magdalena Maria,"Klerk, Pieter de"
343,Netherlands,,Magdalena Maria,"Reichert, Frans"
344,Netherlands,,Magdalena Maria,"Reichert, Frans"
345,Netherlands,,Magdalena Maria,"Reichert, Frans"
346,Netherlands,,Magdalena Maria,"Reichert, Frans"
347,Netherlands,,Magteld,"Boudewijn, J M"
348,Netherlands,,Maria en Elisabeth,"Lagorde, Andries"
349,Netherlands,,Maria en Elisabeth,"Lagorde, Andries"
350,Netherlands,1748-06-06T00:00:00Z,Maria Galei,"Eeling, Cornelis"
351,Netherlands,,Maria Geertruid Galei,"Vermout, Hermanus"
352,Netherlands,1756-09-13T00:00:00Z,Maria Geertruid Galei,"Vermout, Hermanus"
353,Netherlands,,Maria Geertruid Galei,"Vermout, Hermanus<br/> Pietersen, Jan"
354,Netherlands,,Maria Geertruid Galei,"Beekman, Godfried"
355,Netherlands,,Maria Geertruid Galei,"Beekman, Godfried"
356,Netherlands,,Maria Geertruid Galei,"Beekman, Godfried"
357,Netherlands,,Maria Geertruid Galei,"Beekman, Godfried"
358,Netherlands,1769-04-01T00:00:00Z,Maria Isabella,"Harmel, Jan"
359,Netherlands,,Maria Isabella,"Harmel, Jan"
360,Netherlands,1771-08-12T00:00:00Z,Maria Isabella,"Harmel, Jan"
361,Netherlands,1774-01-13T00:00:00Z,Maria Isabella,"Edebool, Carsten"
362,Netherlands,,Maria Isabella,"Edebool, Carsten"
363,Netherlands,,Maria Jacoba,"Wickman, Albert"
364,Netherlands,,Maria Jacoba,
365,Netherlands,,Maria Jacoba,"Wickman, Albert"
366,Netherlands,,Maria Jacoba,"Wickman, Albert"
367,Netherlands,,Maria Jacoba,"Wickman, Albert"
368,Netherlands,,Maria Jacoba,"Wickman, Albert"
369,Netherlands,1767-03-22T00:00:00Z,Maria,"Jansen, Jan"
370,Netherlands,,Maria,"Jansen, Jan"
371,Netherlands,,Maria,"Jansen, Jan"
372,Netherlands,,Maria,"Jansen, Jan"
373,Netherlands,,Maria,"Pieters, Carel"
374,Netherlands,,Maria,"Pieters, Carel"
375,Netherlands,,Maria,"Pieters, Carel"
376,Netherlands,1790-01-31T00:00:00Z,Meerenberg,"Hansen, Matthijs"
377,Netherlands,,Meermin,"Hogerzeijl, Martinus Bruijn"
